INSPECTION_NUMBER|ESTABLISHMENT_NAME|CITY|STATE|ZIP_CODE|SIC_CODE|NAICS_CODE|SAMPLING_NUMBER|OFFICE_ID|DATE_SAMPLED|DATE_REPORTED|EIGHT_HR_TWA_CALC|LAB_NUMBER|FIELD_NUMBER|SAMPLE_TYPE|BLANK_SAMPLE|TIME_SAMPLED|AIR_VOLUME_SAMPLED|SAMPLE_WEIGHT|IMIS_SUBSTANCE_CODE|SUBSTANCE|SAMPLE_RESULT|UNIT_OF_MEASUREMENT|QUALIFIER
1787543|Ribbon Technology Corporation| GAHANNA|OH|43230||331110|463328|522500|2025-Jan-06|2025-Jan-14|N|F53132|4|P|Y||||0689|Chromium (VI) - TWA|0|X|ND-BLK
1787543|Ribbon Technology Corporation| GAHANNA|OH|43230||331110|463328|522500|2025-Jan-06|2025-Jan-14|N|F53131|3|P|N|338|676||0689|Chromium (VI) - TWA|0.000139|M|
1787543|Ribbon Technology Corporation| GAHANNA|OH|43230||331110|463327|522500|2025-Jan-06|2025-Jan-14|N|F53130|1|P|N|446|892||0689|Chromium (VI) - TWA|0.000174|M|
1795307|M.S.D. Star Welding & Fabrication. LLC| ORANGE PARK|FL|32073||332999|463510|419700|2025-Jan-08|2025-Jan-14|N|F53154|MSD01|P|N|8|16||0689|Chromium (VI) - TWA|0|M|ND
1795307|M.S.D. Star Welding & Fabrication. LLC| ORANGE PARK|FL|32073||332999|463510|419700|2025-Jan-08|2025-Jan-14|N|F53155|MSDB|P|Y||||0689|Chromium (VI) - TWA|0|X|ND-BLK
1796395|Hercules Utility Construction, LLC| SANGER|TX|76266||237130|463470|636900|2025-Jan-06|2025-Jan-21|N|F53127|2|B|N||||S777|Soil|0|N|
1796395|Hercules Utility Construction, LLC| SANGER|TX|76266||237130|463470|636900|2025-Jan-06|2025-Jan-21|N|F53126|1|B|N||||S777|Soil|0|N|
1795282|CUSTOM TRUCK ONE SOURCE| KANSAS CITY|MO|64125||532412|463727|728500|2025-Jan-14|2025-Jan-23|N|F53187|BLANK1|P|Y||||0689|Chromium (VI) - TWA|0|X|ND-BLK
1795282|CUSTOM TRUCK ONE SOURCE| KANSAS CITY|MO|64125||532412|463722|728500|2025-Jan-14|2025-Jan-23|N|F53183|TEASLEY2|P|N|148|296||0689|Chromium (VI) - TWA|0|M|ND
1795282|CUSTOM TRUCK ONE SOURCE| KANSAS CITY|MO|64125||532412|463722|728500|2025-Jan-14|2025-Jan-23|N|F53184|TEASLEY1|P|N|342|684||0689|Chromium (VI) - TWA|0|M|ND
1795282|CUSTOM TRUCK ONE SOURCE| KANSAS CITY|MO|64125||532412|463727|728500|2025-Jan-14|2025-Jan-23|N|F53185|PATRICK1|P|N|342|684||0689|Chromium (VI) - TWA|0|M|ND
1795282|CUSTOM TRUCK ONE SOURCE| KANSAS CITY|MO|64125||532412|463714|728500|2025-Jan-14|2025-Jan-23|N|F53181|MARBLE1|P|N|342|684||0689|Chromium (VI) - TWA|0|M|ND
1795282|CUSTOM TRUCK ONE SOURCE| KANSAS CITY|MO|64125||532412|463727|728500|2025-Jan-14|2025-Jan-23|N|F53186|PATRICK2|P|N|162|324||0689|Chromium (VI) - TWA|0|M|ND
1795282|CUSTOM TRUCK ONE SOURCE| KANSAS CITY|MO|64125||532412|463714|728500|2025-Jan-14|2025-Jan-23|N|F53182|MARBLE2|P|N|143|286||0689|Chromium (VI) - TWA|0|M|ND
1788527|WILSON MANUFACTURING CO.| SAINT LOUIS|MO|63123||333514|464164|729300|2025-Jan-16|2025-Jan-23|N|F53296|02|A|N|480|993.12||0689|Chromium (VI) - TWA|0.000275|M|
1788527|WILSON MANUFACTURING CO.| SAINT LOUIS|MO|63123||333514|464164|729300|2025-Jan-16|2025-Jan-23|N|F53297|05|A|Y||||0689|Chromium (VI) - TWA|0|X|ND-BLK
1788527|WILSON MANUFACTURING CO.| SAINT LOUIS|MO|63123||333514|464163|729300|2025-Jan-16|2025-Jan-23|N|F53295|01|P|N|480|803.04||0689|Chromium (VI) - TWA|0.000255|M|
1788527|WILSON MANUFACTURING CO.| SAINT LOUIS|MO|63123||333514|464165|729300|2025-Jan-16|2025-Jan-23|N|F53298|03|W|N||||0689|Chromium (VI) - TWA|177|X|
1788527|WILSON MANUFACTURING CO.| SAINT LOUIS|MO|63123||333514|464166|729300|2025-Jan-16|2025-Jan-23|N|F53300|06|W|Y||||0689|Chromium (VI) - TWA|0|X|ND-BLK
1788527|WILSON MANUFACTURING CO.| SAINT LOUIS|MO|63123||333514|464166|729300|2025-Jan-16|2025-Jan-23|N|F53299|04|W|N||||0689|Chromium (VI) - TWA|51.64|X|
1785969|ABB INC| ALBUQUERQUE|NM|87121||334419|463731|653510|2025-Jan-09|2025-Jan-24|N|F53225|2478|P|N|280|0||0430|2-Butanone|0|P|ND
1785969|ABB INC| ALBUQUERQUE|NM|87121||334419|463732|653510|2025-Jan-09|2025-Jan-24|N|F53226|2217|P|N|348|0||0430|2-Butanone|5.694425|P|
1785969|ABB INC| ALBUQUERQUE|NM|87121||334419|463734|653510|2025-Jan-09|2025-Jan-24|N|F53227|2025|P|N|280|0||0430|2-Butanone|0|P|ND
1785969|ABB INC| ALBUQUERQUE|NM|87121||334419|463735|653510|2025-Jan-09|2025-Jan-24|N|F53228|2330|P|N|305|0||0430|2-Butanone|0|P|ND
1785969|ABB INC| ALBUQUERQUE|NM|87121||334419|463736|653510|2025-Jan-09|2025-Jan-24|N|F53230|4828|P|Y||||0430|2-Butanone|0|X|ND-BLK
1785969|ABB INC| ALBUQUERQUE|NM|87121||334419|463736|653510|2025-Jan-09|2025-Jan-24|N|F53229|4985|P|N|300|0||0430|2-Butanone|0|P|ND
1792971|Union Carbide - St. Charles Operations| St. Charles Parish|LA|0||325199|463659|625700|2025-Jan-10|2025-Jan-24|N|F53166|C01|P|N|240|12||1190|Ethylene Oxide|0|P|ND
1792971|Union Carbide - St. Charles Operations| St. Charles Parish|LA|0||325199|463659|625700|2025-Jan-10|2025-Jan-24|N|F53167|C02|P|N|240|12||1190|Ethylene Oxide|0|P|ND
1792971|Union Carbide - St. Charles Operations| St. Charles Parish|LA|0||325199|463659|625700|2025-Jan-10|2025-Jan-24|N|F53168|Z01|P|Y||||1190|Ethylene Oxide|0|X|ND-BLK
1792971|Union Carbide - St. Charles Operations| St. Charles Parish|LA|0||325199|463657|625700|2025-Jan-10|2025-Jan-24|N|F53165|B01|P|N|15|0.75||1190|Ethylene Oxide|0|P|ND
1794297|Diversitech, LLC| CONYERS|GA|30012||327390|463434|418100|2025-Jan-06|2025-Jan-27|Y|F53145|05818H|P|N|443|779.68|0.575|G301|Gravimetric Determination|0.737|M|
1794297|Diversitech, LLC| CONYERS|GA|30012||327390|463434|418100|2025-Jan-06|2025-Jan-27|Y|F53145|05818H|P|N|443|779.68|0.575|G302|Sample Weight|0.575|Y|
1794297|Diversitech, LLC| CONYERS|GA|30012||327390|463434|418100|2025-Jan-06|2025-Jan-27|Y|F53145|05818H|P|N|443|779.68|0.575|9130|Particulates not otherwise regulated (Respirable Fraction)|0.737|M|
1794297|Diversitech, LLC| CONYERS|GA|30012||327390|463432|418100|2025-Jan-06|2025-Jan-27|Y|F53144|05605H|P|N|441|784.98|0.056|G301|Gravimetric Determination|0.071|M|
1794297|Diversitech, LLC| CONYERS|GA|30012||327390|463432|418100|2025-Jan-06|2025-Jan-27|Y|F53144|05605H|P|N|441|784.98|0.056|G302|Sample Weight|0.056|Y|
1794297|Diversitech, LLC| CONYERS|GA|30012||327390|463432|418100|2025-Jan-06|2025-Jan-27|Y|F53144|05605H|P|N|441|784.98|0.056|9130|Particulates not otherwise regulated (Respirable Fraction)|0.071|M|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463415|521100|2025-Jan-07|2025-Jan-27|Y|F53112|06145H|P|N|450|900|1.759|9135|Particulates not otherwise regulated (Total Dust)|1.954|M|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463415|521100|2025-Jan-07|2025-Jan-27|Y|F53112|06145H|P|N|450|900|1.759|G301|Gravimetric Determination|1.954|M|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463416|521100|2025-Jan-07|2025-Jan-27|Y|F53113|06219H|P|N|429|858|2.138|G302|Sample Weight|2.138|Y|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463416|521100|2025-Jan-07|2025-Jan-27|Y|F53113|06219H|P|N|429|858|2.138|9135|Particulates not otherwise regulated (Total Dust)|2.492|M|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463416|521100|2025-Jan-07|2025-Jan-27|Y|F53113|06219H|P|N|429|858|2.138|G301|Gravimetric Determination|2.492|M|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463417|521100|2025-Jan-07|2025-Jan-27|Y|F53114|05585H|P|N|480|960|5.371|G302|Sample Weight|5.371|Y|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463417|521100|2025-Jan-07|2025-Jan-27|Y|F53114|05585H|P|N|480|960|5.371|9135|Particulates not otherwise regulated (Total Dust)|5.595|M|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463417|521100|2025-Jan-07|2025-Jan-27|Y|F53114|05585H|P|N|480|960|5.371|G301|Gravimetric Determination|5.595|M|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463418|521100|2025-Jan-07|2025-Jan-27|Y|F53115|06208H|P|N|469|938|9.65|G302|Sample Weight|9.65|Y|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463418|521100|2025-Jan-07|2025-Jan-27|Y|F53115|06208H|P|N|469|938|9.65|9135|Particulates not otherwise regulated (Total Dust)|10.288|M|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463418|521100|2025-Jan-07|2025-Jan-27|Y|F53115|06208H|P|N|469|938|9.65|G301|Gravimetric Determination|10.288|M|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463419|521100|2025-Jan-07|2025-Jan-27|Y|F53116|06223H|P|N|443|886|3.513|G302|Sample Weight|3.513|Y|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463419|521100|2025-Jan-07|2025-Jan-27|Y|F53116|06223H|P|N|443|886|3.513|9135|Particulates not otherwise regulated (Total Dust)|3.965|M|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463419|521100|2025-Jan-07|2025-Jan-27|Y|F53116|06223H|P|N|443|886|3.513|G301|Gravimetric Determination|3.965|M|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463420|521100|2025-Jan-07|2025-Jan-27|Y|F53117|06140H|P|N|471|942|6.522|G302|Sample Weight|6.522|Y|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463420|521100|2025-Jan-07|2025-Jan-27|Y|F53117|06140H|P|N|471|942|6.522|9135|Particulates not otherwise regulated (Total Dust)|6.924|M|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463420|521100|2025-Jan-07|2025-Jan-27|Y|F53117|06140H|P|N|471|942|6.522|G301|Gravimetric Determination|6.924|M|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463421|521100|2025-Jan-07|2025-Jan-27|Y|F53118|06137H|P|N|458|916|9.372|G302|Sample Weight|9.372|Y|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463421|521100|2025-Jan-07|2025-Jan-27|Y|F53118|06137H|P|N|458|916|9.372|9135|Particulates not otherwise regulated (Total Dust)|10.231|M|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463421|521100|2025-Jan-07|2025-Jan-27|Y|F53118|06137H|P|N|458|916|9.372|G301|Gravimetric Determination|10.231|M|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463422|521100|2025-Jan-07|2025-Jan-27|Y|F53119|06237H|P|N|423|846|6.205|G302|Sample Weight|6.205|Y|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463422|521100|2025-Jan-07|2025-Jan-27|Y|F53119|06237H|P|N|423|846|6.205|9135|Particulates not otherwise regulated (Total Dust)|7.335|M|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463422|521100|2025-Jan-07|2025-Jan-27|Y|F53119|06237H|P|N|423|846|6.205|G301|Gravimetric Determination|7.335|M|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463413|521100|2025-Jan-07|2025-Jan-27|Y|F53122|06151H|P|Y|||0|G302|Sample Weight|0|Y|ND-BLK
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463413|521100|2025-Jan-07|2025-Jan-27|Y|F53122|06151H|P|Y|||0|9135|Particulates not otherwise regulated (Total Dust)|0|M|ND-BLK
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463413|521100|2025-Jan-07|2025-Jan-27|Y|F53122|06151H|P|Y|||0|G301|Gravimetric Determination|0|M|ND-BLK
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463413|521100|2025-Jan-07|2025-Jan-27|Y|F53121|05386H|P|Y|||0|G302|Sample Weight|0|Y|ND-BLK
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463413|521100|2025-Jan-07|2025-Jan-27|Y|F53121|05386H|P|Y|||0|9135|Particulates not otherwise regulated (Total Dust)|0|M|ND-BLK
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463413|521100|2025-Jan-07|2025-Jan-27|Y|F53121|05386H|P|Y|||0|G301|Gravimetric Determination|0|M|ND-BLK
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463413|521100|2025-Jan-07|2025-Jan-27|Y|F53120|05588H|P|N|483|966|14.831|G302|Sample Weight|14.831|Y|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463413|521100|2025-Jan-07|2025-Jan-27|Y|F53120|05588H|P|N|483|966|14.831|9135|Particulates not otherwise regulated (Total Dust)|15.353|M|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463413|521100|2025-Jan-07|2025-Jan-27|Y|F53120|05588H|P|N|483|966|14.831|G301|Gravimetric Determination|15.353|M|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463414|521100|2025-Jan-07|2025-Jan-27|Y|F53111|06340H|P|N|470|940|13.189|G302|Sample Weight|13.189|Y|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463414|521100|2025-Jan-07|2025-Jan-27|Y|F53111|06340H|P|N|470|940|13.189|9135|Particulates not otherwise regulated (Total Dust)|14.031|M|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463414|521100|2025-Jan-07|2025-Jan-27|Y|F53111|06340H|P|N|470|940|13.189|G301|Gravimetric Determination|14.031|M|
1787649|Waupaca Foundry, Inc.| MARINETTE|WI|54143||331511|463415|521100|2025-Jan-07|2025-Jan-27|Y|F53112|06145H|P|N|450|900|1.759|G302|Sample Weight|1.759|Y|
1794297|Diversitech, LLC| CONYERS|GA|30012||327390|463444|418100|2025-Jan-07|2025-Jan-27|Y|F53147|BLANK|P|Y|||0|G302|Sample Weight|0|Y|ND-BLK
1794297|Diversitech, LLC| CONYERS|GA|30012||327390|463444|418100|2025-Jan-07|2025-Jan-27|Y|F53147|BLANK|P|Y|||0|G301|Gravimetric Determination|0|M|ND-BLK
1794297|Diversitech, LLC| CONYERS|GA|30012||327390|463444|418100|2025-Jan-07|2025-Jan-27|Y|F53147|BLANK|P|Y|||0|9130|Particulates not otherwise regulated (Respirable Fraction)|0|M|ND-BLK
1794297|Diversitech, LLC| CONYERS|GA|30012||327390|463444|418100|2025-Jan-07|2025-Jan-27|Y|F53146|05534H|P|N|439|772.64|0.154|9130|Particulates not otherwise regulated (Respirable Fraction)|0.199|M|
1794297|Diversitech, LLC| CONYERS|GA|30012||327390|463444|418100|2025-Jan-07|2025-Jan-27|Y|F53146|05534H|P|N|439|772.64|0.154|G302|Sample Weight|0.154|Y|
1794297|Diversitech, LLC| CONYERS|GA|30012||327390|463444|418100|2025-Jan-07|2025-Jan-27|Y|F53146|05534H|P|N|439|772.64|0.154|G301|Gravimetric Determination|0.199|M|
1787849|Fostoria Monument, LLC| FOSTORIA|OH|44830||327991|463625|524700|2025-Jan-08|2025-Jan-27|Y|F53161|05864H|P|N|178|295.48|0.11|G301|Gravimetric Determination|0.372|M|
1787849|Fostoria Monument, LLC| FOSTORIA|OH|44830||327991|463625|524700|2025-Jan-08|2025-Jan-27|Y|F53161|05864H|P|N|178|295.48|0.11|G302|Sample Weight|0.11|Y|
1787849|Fostoria Monument, LLC| FOSTORIA|OH|44830||327991|463625|524700|2025-Jan-08|2025-Jan-27|Y|F53161|05864H|P|N|178|295.48|0.11|9130|Particulates not otherwise regulated (Respirable Fraction)|0.372|M|
1787849|Fostoria Monument, LLC| FOSTORIA|OH|44830||327991|463625|524700|2025-Jan-08|2025-Jan-27|Y|F53162|06155H|P|Y|||0|G301|Gravimetric Determination|0|M|ND-BLK
1787849|Fostoria Monument, LLC| FOSTORIA|OH|44830||327991|463625|524700|2025-Jan-08|2025-Jan-27|Y|F53162|06155H|P|Y|||0|G302|Sample Weight|0|Y|ND-BLK
1787849|Fostoria Monument, LLC| FOSTORIA|OH|44830||327991|463625|524700|2025-Jan-08|2025-Jan-27|Y|F53162|06155H|P|Y|||0|9130|Particulates not otherwise regulated (Respirable Fraction)|0|M|ND-BLK
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463674|522000|2025-Jan-13|2025-Jan-27|Y|F53196|08656C|A|N|451|778.5613|0.055|G302|Sample Weight|0.055|Y|
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463674|522000|2025-Jan-13|2025-Jan-27|Y|F53196|08656C|A|N|451|778.5613|0.055|G301|Gravimetric Determination|0.071|M|
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463674|522000|2025-Jan-13|2025-Jan-27|Y|F53196|08656C|A|N|451|778.5613|0.055|9130|Particulates not otherwise regulated (Respirable Fraction)|0.071|M|
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463674|522000|2025-Jan-13|2025-Jan-27|Y|F53197|09747C|A|Y|||0.034|G301|Gravimetric Determination|0|M|BLK
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463674|522000|2025-Jan-13|2025-Jan-27|Y|F53197|09747C|A|Y|||0.034|9130|Particulates not otherwise regulated (Respirable Fraction)|0|M|BLK
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463662|522000|2025-Jan-13|2025-Jan-27|Y|F53194|08632C|P|N|194|342.0996|0.079|G301|Gravimetric Determination|0.231|M|
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463662|522000|2025-Jan-13|2025-Jan-27|Y|F53194|08632C|P|N|194|342.0996|0.079|G302|Sample Weight|0.079|Y|
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463662|522000|2025-Jan-13|2025-Jan-27|Y|F53194|08632C|P|N|194|342.0996|0.079|9130|Particulates not otherwise regulated (Respirable Fraction)|0.231|M|
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463662|522000|2025-Jan-13|2025-Jan-27|Y|F53195|09757C|P|N|116|204.5544|0.017|G301|Gravimetric Determination|0.083|M|
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463662|522000|2025-Jan-13|2025-Jan-27|Y|F53195|09757C|P|N|116|204.5544|0.017|G302|Sample Weight|0.017|Y|
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463662|522000|2025-Jan-13|2025-Jan-27|Y|F53195|09757C|P|N|116|204.5544|0.017|9130|Particulates not otherwise regulated (Respirable Fraction)|0.083|M|
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463661|522000|2025-Jan-13|2025-Jan-27|Y|F53192|09641C|P|N|202|354.5504|2.681|G301|Gravimetric Determination|7.562|M|
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463661|522000|2025-Jan-13|2025-Jan-27|Y|F53192|09641C|P|N|202|354.5504|2.681|G302|Sample Weight|2.681|Y|
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463661|522000|2025-Jan-13|2025-Jan-27|Y|F53192|09641C|P|N|202|354.5504|2.681|9130|Particulates not otherwise regulated (Respirable Fraction)|7.562|M|
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463661|522000|2025-Jan-13|2025-Jan-27|Y|F53193|09396C|P|N|120|210.624|0.029|G301|Gravimetric Determination|0.138|M|
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463661|522000|2025-Jan-13|2025-Jan-27|Y|F53193|09396C|P|N|120|210.624|0.029|G302|Sample Weight|0.029|Y|
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463661|522000|2025-Jan-13|2025-Jan-27|Y|F53193|09396C|P|N|120|210.624|0.029|9130|Particulates not otherwise regulated (Respirable Fraction)|0.138|M|
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463658|522000|2025-Jan-13|2025-Jan-27|Y|F53190|08934C|P|N|124|217.3224|0.041|G301|Gravimetric Determination|0.189|M|
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463658|522000|2025-Jan-13|2025-Jan-27|Y|F53190|08934C|P|N|124|217.3224|0.041|G302|Sample Weight|0.041|Y|
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463658|522000|2025-Jan-13|2025-Jan-27|Y|F53190|08934C|P|N|124|217.3224|0.041|9130|Particulates not otherwise regulated (Respirable Fraction)|0.189|M|
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463658|522000|2025-Jan-13|2025-Jan-27|Y|F53191|08619C|P|N|195|341.757|0.071|G301|Gravimetric Determination|0.208|M|
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463658|522000|2025-Jan-13|2025-Jan-27|Y|F53191|08619C|P|N|195|341.757|0.071|G302|Sample Weight|0.071|Y|
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463658|522000|2025-Jan-13|2025-Jan-27|Y|F53191|08619C|P|N|195|341.757|0.071|9130|Particulates not otherwise regulated (Respirable Fraction)|0.208|M|
1795213|C&E Granite Fabrication and Installation LLC| CINCINNATI|OH|45216||327991|463674|522000|2025-Jan-13|2025-Jan-27|Y|F53197|09747C|A|Y|||0.034|G302|Sample Weight|0.034|Y|BLK
1796969|Fiberpro, Inc.| LA CROSSE|WI|54601||326199|463710|523300|2025-Jan-14|2025-Jan-27|Y|F53258|05252H|P|N|534|1068|1.778|9135|Particulates not otherwise regulated (Total Dust)|1.665|M|
1796969|Fiberpro, Inc.| LA CROSSE|WI|54601||326199|463710|523300|2025-Jan-14|2025-Jan-27|Y|F53258|05252H|P|N|534|1068|1.778|G301|Gravimetric Determination|1.665|M|
1796969|Fiberpro, Inc.| LA CROSSE|WI|54601||326199|463710|523300|2025-Jan-14|2025-Jan-27|Y|F53258|05252H|P|N|534|1068|1.778|G302|Sample Weight|1.778|Y|
1796969|Fiberpro, Inc.| LA CROSSE|WI|54601||326199|463711|523300|2025-Jan-14|2025-Jan-27|Y|F53256|BLANK-1|P|Y|||0|G302|Sample Weight|0|Y|ND-BLK
1796969|Fiberpro, Inc.| LA CROSSE|WI|54601||326199|463711|523300|2025-Jan-14|2025-Jan-27|Y|F53256|BLANK-1|P|Y|||0|9130|Particulates not otherwise regulated (Respirable Fraction)|0|M|ND-BLK
1796969|Fiberpro, Inc.| LA CROSSE|WI|54601||326199|463711|523300|2025-Jan-14|2025-Jan-27|Y|F53256|BLANK-1|P|Y|||0|G301|Gravimetric Determination|0|M|ND-BLK
1796969|Fiberpro, Inc.| LA CROSSE|WI|54601||326199|463711|523300|2025-Jan-14|2025-Jan-27|Y|F53255|04911H|P|N|533|954.07|1.271|G302|Sample Weight|1.271|Y|
1796969|Fiberpro, Inc.| LA CROSSE|WI|54601||326199|463711|523300|2025-Jan-14|2025-Jan-27|Y|F53255|04911H|P|N|533|954.07|1.271|G301|Gravimetric Determination|1.332|M|
1796969|Fiberpro, Inc.| LA CROSSE|WI|54601||326199|463711|523300|2025-Jan-14|2025-Jan-27|Y|F53255|04911H|P|N|533|954.07|1.271|9130|Particulates not otherwise regulated (Respirable Fraction)|1.332|M|
1781107|General Dynamics Ordnance and Tactical Systems, In| MESQUITE|TX|75149||332312|463956|626300|2025-Jan-15|2025-Jan-27|Y|F53260|05742H|P|Y|||0.018|9130|Particulates not otherwise regulated (Respirable Fraction)|0|M|BLK
1781107|General Dynamics Ordnance and Tactical Systems, In| MESQUITE|TX|75149||332312|463956|626300|2025-Jan-15|2025-Jan-27|Y|F53259|05757H|P|N|473|804.1|0.101|9130|Particulates not otherwise regulated (Respirable Fraction)|0.126|M|
1781107|General Dynamics Ordnance and Tactical Systems, In| MESQUITE|TX|75149||332312|463956|626300|2025-Jan-15|2025-Jan-27|Y|F53260|05742H|P|Y|||0.018|G302|Sample Weight|0.018|Y|BLK
1781107|General Dynamics Ordnance and Tactical Systems, In| MESQUITE|TX|75149||332312|463956|626300|2025-Jan-15|2025-Jan-27|Y|F53259|05757H|P|N|473|804.1|0.101|G302|Sample Weight|0.101|Y|
1781107|General Dynamics Ordnance and Tactical Systems, In| MESQUITE|TX|75149||332312|463956|626300|2025-Jan-15|2025-Jan-27|Y|F53260|05742H|P|Y|||0.018|G301|Gravimetric Determination|0|M|BLK
1781107|General Dynamics Ordnance and Tactical Systems, In| MESQUITE|TX|75149||332312|463956|626300|2025-Jan-15|2025-Jan-27|Y|F53259|05757H|P|N|473|804.1|0.101|G301|Gravimetric Determination|0.126|M|
1781107|General Dynamics Ordnance and Tactical Systems, In| MESQUITE|TX|75149||332312|463960|626300|2025-Jan-15|2025-Jan-27|Y|F53262|05808H|P|N|422|860.88||G301|Gravimetric Determination|0.412|M|
1781107|General Dynamics Ordnance and Tactical Systems, In| MESQUITE|TX|75149||332312|463960|626300|2025-Jan-15|2025-Jan-27|Y|F53262|05808H|P|N|422|860.88||G302|Sample Weight|0.355|Y|
1781107|General Dynamics Ordnance and Tactical Systems, In| MESQUITE|TX|75149||332312|463960|626300|2025-Jan-15|2025-Jan-27|Y|F53262|05808H|P|N|422|860.88||5010|Oil Mist, Mineral|0.412|M|<=
1781107|General Dynamics Ordnance and Tactical Systems, In| MESQUITE|TX|75149||332312|463960|626300|2025-Jan-15|2025-Jan-27|Y|F53262|05808H|P|N|422|860.88||9135|Particulates not otherwise regulated (Total Dust)|0.412|M|
1781107|General Dynamics Ordnance and Tactical Systems, In| MESQUITE|TX|75149||332312|463960|626300|2025-Jan-15|2025-Jan-27|Y|F53263|05789H|P|Y||||G302|Sample Weight|0.059|Y|BLK
1781107|General Dynamics Ordnance and Tactical Systems, In| MESQUITE|TX|75149||332312|463958|626300|2025-Jan-15|2025-Jan-27|Y|F53261|05688H|P|N|464|946.56||5010|Oil Mist, Mineral|0.275|M|<=
1781107|General Dynamics Ordnance and Tactical Systems, In| MESQUITE|TX|75149||332312|463958|626300|2025-Jan-15|2025-Jan-27|Y|F53261|05688H|P|N|464|946.56||9135|Particulates not otherwise regulated (Total Dust)|0.275|M|
